Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,891,Serbia and Montenegro,SCG,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,54000,,,,54000,,19872,,,0
H1,2001,2001,2001,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,4335243,,,,4335243,,5334177,,,0
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,24344208,,,,24344208,,34404213,,,0
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,24,Angola,AGO,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,744530,,,,744530,,372844,,,0
H1,2001,2001,2001,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,451336,,,,451336,,338242,,,0
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,2379036,,,,2379036,,3542962,,,0
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,48,Bahrain,BHR,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,42852,,,,42852,,103013,,,0
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,50,Bangladesh,BGD,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,81230,,,,81230,,50976,,,0
H1,2001,2001,2001,4,0,1,Import,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,8934,,,,8934,,27559,,,0
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,34290,,,,34290,,128814,,,0
H1,2001,2001,2001,4,0,2,Export,360,Indonesia,IDN,90,Solomon Isds,SLB,,,,,,,,1905,"Baked bread, pastry, wafers, rice paper, biscuits, etc",8,Weight in kilograms,2434,,,,2434,,2387,,,0
